code_postal,nom,population,lattitude,longitude
75001-75002-75003-75004-75005-75006-75007-75008-75009-75010-75011-75012-75013-75014-75015-75016-75017-75018-75019-75020-75116,Paris,2243833,2.34445,48.86
13001-13002-13003-13004-13005-13006-13007-13008-13009-13010-13011-13012-13013-13014-13015-13016,Marseille,850726,5.37639,43.2967
69001-69002-69003-69004-69005-69006-69007-69008-69009,Lyon,484344,4.84139,45.7589
31000-31100-31200-31300-31400-31500,Toulouse,441802,1.43333,43.6
06000-06100-06200-06300,Nice,343304,7.25,43.7
44000-44100-44200-44300,Nantes,284970,-1.55,47.2167
67000-67100-67200,Strasbourg,271782,7.75,48.5833
34000-34070-34080-34090,Montpellier,257351,3.88333,43.6
33000-33100-33200-33300-33800,Bordeaux,239157,-0.566667,44.8333
59000-59160-59260-59777-59800,Lille,227560,3.06667,50.6333
35000-35200-35700,Rennes,207178,-1.68333,48.0833
51100,Reims,179992,4.03333,49.25
76600-76610-76620,Le Havre,175497,0.133333,49.5
42000-42100-42230,Saint-Étienne,171260,4.4,45.4333
83000-83100-83200,Toulon,164532,5.93333,43.1167
38000-38100,Grenoble,155637,5.71667,45.1667
21000-21100,Dijon,151212,5.01667,47.3167
49000-49100,Angers,147571,-0.55,47.4667
69100,Villeurbanne,145150,4.88333,45.7667
97490,Saint-Denis,145022,46.7107,1.71819
72000-72100,Le Mans,142626,0.2,48.0
30000-30900,Nîmes,142205,4.35,43.8333
13080-13090-13100-13290-13540,Aix-en-Provence,141438,5.43333,43.5333
29200,Brest,141303,-4.48333,48.4
63000-63100,Clermont-Ferrand,139860,3.08333,45.7833
87000-87100-87280,Limoges,139150,1.25,45.85
37000-37100-37200,Tours,134817,0.683333,47.3833
80000-80080-80090,Amiens,133448,2.3,49.9
57000-57050-57070,Metz,120738,6.16667,49.1333
66000-66100,Perpignan,117419,2.88333,42.6833
25000,Besançon,116914,6.03333,47.25
92100,Boulogne-Billancourt,114205,2.25,48.8333
45000-45100,Orléans,114167,1.9,47.9167
76000-76100,Rouen,110933,1.08333,49.4333
68100-68200,Mulhouse,109588,7.33333,47.75
14000,Caen,108954,-0.35,49.1833
93200-93210,Saint-Denis,106785,2.35833,48.9333
54100,Nancy,105421,6.2,48.6833
97460,Saint-Paul,103346,-21.0033,55.2833
95100,Argenteuil,103125,2.25,48.95
93100,Montreuil,102770,2.43333,48.8667
59100,Roubaix,94713,3.16667,50.7
59140-59240-59430-59640-59279,Dunkerque,92005,2.36667,51.05
59200,Tourcoing,91923,3.15,50.7167
94000,Créteil,89985,2.46667,48.7833
84000,Avignon,89683,4.81667,43.95
92000,Nanterre,89185,2.2,48.9
86000,Poitiers,87697,0.333333,46.5833
92400,Courbevoie,87469,2.25222,48.8973
97234,Fort-de-France,87216,14.627,-61.0732
78000,Versailles,86110,2.13333,48.8
94400,Vitry-sur-Seine,85413,2.4,48.7833
92700,Colombes,85398,2.25,48.9167
92600,Asnières-sur-Seine,82327,2.28556,48.9112
93600,Aulnay-sous-Bois,82120,2.51667,48.95
64000,Pau,81166,-0.366667,43.3
92500,Rueil-Malmaison,79426,2.2,48.8833
97432,Saint-Pierre,79228,43.6566,6.87387
93300,Aubervilliers,76087,2.38333,48.9167
94500,Champigny-sur-Marne,75510,2.51667,48.8167
17000,La Rochelle,75170,-1.15,46.1667
94100-94210,Saint-Maur-des-Fossés,74816,2.5,48.8
06600-06160,Antibes,74120,7.11667,43.5833
62100,Calais,73636,1.83333,50.95
97430,Tampon,73365,-21.2815,55.518
06400-06150,Cannes,73234,7.01667,43.55
34500,Béziers,70955,3.25,43.35
68000,Colmar,67615,7.36667,48.0833
44600,Saint-Nazaire,67031,-2.2,47.2833
93700,Drancy,66410,2.45,48.9333
18000,Bourges,66381,2.4,47.0833
33700,Mérignac,66142,-0.633333,44.8333
20000-20090,Ajaccio,65542,8.7364,41.9256
92130,Issy-les-Moulineaux,64355,2.26667,48.8167
92300,Levallois-Perret,64253,2.28333,48.9
59491-59493-59650,Villeneuve-d'Ascq,63572,3.14167,50.6833
29000,Quimper,63550,-4.1,48.0
26000,Valence,63405,4.9,44.9333
93160,Noisy-le-Grand,62964,2.56667,48.85
83500,La Seyne-sur-Mer,62082,5.88333,43.1
92160,Antony,61793,2.3,48.75
92200,Neuilly-sur-Seine,61754,2.26667,48.8833
10000,Troyes,60280,4.08333,48.3
69200,Vénissieux,59855,4.88333,45.6833
92110,Clichy,58916,2.3,48.9
95200,Sarcelles,58614,2.38333,49.0
97142,Abymes,58534,16.3065,-61.5106
33600,Pessac,58025,-0.616667,44.8
94200,Ivry-sur-Seine,57732,2.38333,48.8167
73000,Chambéry,57342,5.93333,45.5667
79000,Niort,57325,-0.466667,46.3167
97600,Mamoudzou,57281,45.2317,-12.7814
56100,Lorient,57204,-3.36667,47.75
95000-95800,Cergy,56988,2.06667,49.0333
82000,Montauban,56271,1.35,44.0167
02100,Saint-Quentin,55978,3.28333,49.85
97300,Cayenne,55753,4.92215,-52.3054
94800,Villejuif,55490,2.36667,48.8
60155,Beauvais,54711,2.08333,49.4333
83400,Hyères,54600,6.11667,43.1167
